question,answer,image_id
what is on the right most side on the table,coffee_machine,image862
what is beneath the blinds,treadmill,image1317
what is on the wall,picture,image514
what are found on the right side of the bed,"window, chair",image1150
what is the white colour object in the floor,dog_bowl,image899
what is on the drawer table,"books, cream_tube",image1093
what is the object above the table,light,image875
what is to the left of the table,shelves,image235
what is the object on the floor in front of the table,chair,image552
what is hanged on the wall,television,image1213
what is on the chair,clothes,image546
what is the object above the stove close to the wall,microwave,image144
what is on top of the wine rack,wine_bottle,image158
what is the object close to the counter,sink,image738
what is to the left side of the stove,microwave,image769
what is stuck on the wall,photo,image902
what is the object on the floor in front of the wall,refridgerator,image565
what is on the wall,mirror,image1354
what is to the left of stove,box,image136
what are found on the table in front of the sofa,"bowl, ashtray",image1238
what is behind the sofa,window,image1261
what is the object on the floor,plant,image457
what is in front of the chair,bag,image394
what are the black objects on the tv stand,"television, dvd_player",image259
what is the object that is built close to the floor giving doorway to walk,"door, door_way_arch",image18
what is on the speaker,dvd,image602
what is to the right of tv,shelves,image63
what object is on the top of the book,radio,image1200
what is on the wall,picture,image487
what is near the mirror,lamp,image1086
what object is found on the right side,bed,image966
what is the object close to the floor,bathtub,image736
what is on the right side of the lamp,paper,image1049
what is at the top right corner,door,image1181
how many photos are the on the cabinet,5,image1165
what is on the left side of the whiteboard,stacked_chairs,image5
what is the colour of bag,black,image781
what is on the bed,comforter,image971
whats is the object close to the ceiling,light,image114
what is the colour of the object hanged in top left of the bed,yellow,image953
what is on the left side of the bottle of liquid,cream_tube,image654
how many lamp shades are found on the table,2,image1246
what is the object close to the floor,floor_mat,image730
what is to the right side of the window,bookshelf,image1194
how many sticky notes are there on the poster board,2,image23
what is behind the candle holder,window,image1440
what is the object above the stove close to the wall,microwave,image136
what are the objects close to the ceiling,"exit_sign, fire_alarm, light",image15
how many drawers are there,2,image1118
how many drawer knobs are there,3,image674
what object is on the white wall above the celery couch,picture,image14
what color is the towels reflected in the mirror,blue,image170
how many chairs are there,10,image1437
what is the object on top of the cabinet below the ceiling close to the wall,modem,image13
what is beneath the table,drawer,image563
what is behind the sofa,window,image1314
what is on the left side of the sofa,table,image1213
how many chairs are there,3,image824
